Rank,Mountain Peak,Mountain Range,Elevation,Prominence,Isolation,Longitude,Latitude
1,Mount Elbert,Sawatch Range,"14,440 ft","9,093 ft",671 mi,39.1178,106.4454
2,Mount Massive,Sawatch Range,"14,428 ft","1,961 ft",5.06 mi,39.1875,106.4757
3,Mount Harvard,Sawatch Range,"14,421 ft","2,360 ft",14.93 mi,38.9244,106.3207
4,Blanca Peak,Sangre de Cristo Range,"14,351 ft","5,326 ft",103.4 mi,37.5775,105.4856
5,La Plata Peak,Sawatch Range,"14,343 ft","1,836 ft",6.28 mi,39.0294,106.4729
6,Uncompahgre Peak,San Juan Mountains,"14,321 ft","4,277 ft",85.1 mi,38.0717,107.4621
7,Crestone Peak,Sangre de Cristo Range,"14,300 ft","4,554 ft",27.4 mi,37.9669,105.5855
8,Mount Lincoln,Mosquito Range,"14,293 ft","3,862 ft",22.6 mi,39.3515,106.1116
9,Castle Peak,Elk Mountains,"14,279 ft","2,365 ft",20.9 mi,39.0097,106.8614
10,Grays Peak,Front Range,"14,278 ft","2,770 ft",25 mi,39.6339,105.8176
11,Mount Antero,Sawatch Range,"14,276 ft","2,503 ft",17.75 mi,38.6741,106.2462
12,Torreys Peak,Front Range,"14,275 ft",560 ft,0.65 mi,39.6428,105.8212
13,Quandary Peak,Mosquito Range,"14,271 ft","1,125 ft",3.16 mi,39.3973,106.1064
14,Mount Evans,Front Range,"14,271 ft","2,770 ft",9.79 mi,39.5883,105.6438
15,Longs Peak,Front Range,"14,259 ft","2,940 ft",43.6 mi,40.255,105.6151
16,Mount Wilson,San Miguel Mountains,"14,252 ft","4,024 ft",33.1 mi,37.8391,107.9916
17,Mount Shavano,Sawatch Range,"14,231 ft","1,619 ft",3.78 mi,38.6192,106.2393
18,Mount Princeton,Sawatch Range,"14,204 ft","2,177 ft",5.19 mi,38.7492,106.2424
19,Mount Belford,Sawatch Range,"14,203 ft","1,337 ft",3.3 mi,38.9607,106.3607
20,Crestone Needle,Sangre de Cristo Range,"14,203 ft",457 ft,0.45 mi,37.9647,105.5766
21,Mount Yale,Sawatch Range,"14,200 ft","1,896 ft",5.55 mi,38.8442,106.3138
22,Mount Bross,Mosquito Range,"14,178 ft",312 ft,0.99 mi,39.3354,106.1077
23,Kit Carson Mountain,Sangre de Cristo Range,"14,171 ft","1,025 ft",1.27 mi,37.9797,105.6026
24,Maroon Peak,Elk Mountains,"14,163 ft","2,336 ft",8.06 mi,39.0708,106.989
25,Tabeguache Peak,Sawatch Range,"14,162 ft",455 ft,0.75 mi,38.6255,106.2509
26,Mount Oxford,Collegiate Peaks,"14,160 ft",653 ft,1.22 mi,38.9648,106.3388
27,Mount Sneffels,Sneffels Range,"14,158 ft","3,050 ft",15.73 mi,38.0038,107.7923
28,Mount Democrat,Mosquito Range,"14,155 ft",768 ft,1.27 mi,39.3396,106.14
29,Capitol Peak,Elk Mountains,"14,137 ft","1,750 ft",7.44 mi,39.1503,107.0829
30,Pikes Peak,Front Range,"14,115 ft","5,530 ft",60.8 mi,38.8405,105.0442
31,Snowmass Mountain,Elk Mountains,"14,099 ft","1,152 ft",2.34 mi,39.1188,107.0665
32,Windom Peak,Needle Mountains,"14,093 ft","2,187 ft",26.4 mi,37.6212,107.5919
33,Mount Eolus,San Juan Mountains,"14,090 ft","1,024 ft",1.69 mi,37.6218,107.6227
34,Challenger Point,Sangre de Cristo Range,"14,087 ft",301 ft,0.22 mi,37.9804,105.6066
35,Mount Columbia,Sawatch Range,"14,077 ft",893 ft,1.9 mi,38.9039,106.2975
36,Missouri Mountain,Sawatch Range,"14,074 ft",847 ft,1.31 mi,38.9476,106.3785
37,Humboldt Peak,Sangre de Cristo Range,"14,070 ft","1,204 ft",1.41 mi,37.9762,105.5552
38,Mount Bierstadt,Front Range,"14,065 ft",720 ft,1.12 mi,39.5826,105.6688
39,Sunlight Peak,San Juan Mountains,"14,065 ft",399 ft,0.48 mi,37.6274,107.5959
40,Handies Peak,San Juan Mountains,"14,058 ft","1,908 ft",11.18 mi,37.913,107.5044
41,Culebra Peak,Culebra Range,"14,053 ft","4,827 ft",35.5 mi,37.1224,105.1858
42,Ellingwood Point,Sangre de Cristo Range,"14,048 ft",342 ft,0.52 mi,37.5826,105.4927
43,Mount Lindsey,Sangre de Cristo Range,"14,048 ft","1,542 ft",2.26 mi,37.5837,105.4449
44,Little Bear Peak,Sangre de Cristo Range,"14,043 ft",377 ft,0.98 mi,37.5666,105.4972
45,Mount Sherman,Mosquito Range,"14,043 ft",850 ft,8.06 mi,39.225,106.1699
46,Redcloud Peak,San Juan Mountains,"14,041 ft","1,436 ft",4.91 mi,37.941,107.4219
47,Pyramid Peak,Elk Mountains,"14,025 ft","1,638 ft",2.09 mi,39.0717,106.9502
48,Wilson Peak,San Juan Mountains,"14,023 ft",857 ft,1.51 mi,37.8603,107.9847
49,San Luis Peak,La Garita Mountains,"14,022 ft","3,113 ft",27 mi,37.9868,106.9313
50,Wetterhorn Peak,San Juan Mountains,"14,021 ft","1,635 ft",2.77 mi,38.0607,107.5109
51,Mount of the Holy Cross,Sawatch Range,"14,011 ft","2,113 ft",18.52 mi,39.4668,106.4817
52,Huron Peak,Sawatch Range,"14,010 ft","1,423 ft",3.21 mi,38.9455,106.4381
53,Sunshine Peak,San Juan Mountains,"14,007 ft",501 ft,1.27 mi,37.9228,107.4256
